iter	Passed	Remaining
0	2	290
1	5	283
2	9	300
3	12	291
4	15	293
5	18	287
6	20	275
7	22	263
8	25	253
9	26	242
10	28	231
11	30	223
12	31	213
13	33	206
14	35	199
15	36	192
16	37	185
17	39	178
18	40	172
19	41	167
20	42	161
21	44	156
22	45	150
23	46	146
24	47	141
25	48	137
26	49	133
27	50	130
28	51	126
29	52	123
30	53	119
31	54	116
32	55	113
33	56	110
34	57	107
35	58	104
36	59	102
37	61	99
38	62	96
39	63	94
40	64	92
41	64	89
42	65	86
43	66	84
44	67	82
45	68	80
46	69	78
47	70	76
48	71	74
49	72	72
50	73	70
51	74	69
52	75	67
53	76	65
54	77	63
55	78	61
56	79	59
57	80	58
58	81	56
59	82	54
60	83	53
61	84	51
62	85	50
63	86	48
64	87	47
65	88	45
66	89	44
67	90	42
68	91	41
69	92	39
70	93	38
71	94	36
72	95	35
73	96	33
74	97	32
75	98	31
76	99	29
77	100	28
78	101	26
79	102	25
80	103	24
81	104	22
82	105	21
83	106	20
84	107	18
85	108	17
86	109	16
87	110	15
88	111	13
89	113	12
90	114	11
91	115	10
92	116	8
93	117	7
94	118	6
95	119	4
96	120	3
97	121	2
98	122	1
99	122	0
